Issue Id,Project Key,Issue Type,Summary,Description,Status,Assignee,Labels,Parent Id
410,FA,Task,Credits calculation,"Define rules: for each primary muscle add full count of sets; for each secondary muscle add 0.5x sets (decimals allowed). AC: Given 3 sets with 2 primary and 1 secondary muscle -> credits [p1:3, p2:3, s1:1.5]; output is stable and typed.",To Do,Jan,frontend,
411,FA,Sub-task,Implement rules,"Implement computeCredits(exercise, setsCount) returning [{muscle, sets}]. AC: Works when there are zero secondary muscles; stable order; types align with LogEntry. Reuse in save flow.",To Do,Jan,frontend,410
412,FA,Sub-task,Edge cases,"Block save or show validation when sets array empty, invalid numbers present, or unknown exerciseId. AC: No write to storage on invalid state; clear user feedback; unit/console checks pass.",To Do,Jan,frontend,410

420,FA,Task,Integrate log persistence,"Ensure reducer persists logs to key bb_logs and hydration occurs on app start. AC: Refresh retains logs; no duplicate entries; write happens only in ADD_LOG branch.",Done,Jan,frontend,
421,FA,Sub-task,Reducer write,"In reducer ADD_LOG: append immutably and call setJSON('bb_logs', logs). AC: localStorage contains serialized log; errors handled gracefully; UI remains responsive.",Done,Jan,frontend,420
422,FA,Sub-task,Hydration,"In StoreProvider useEffect: read bb_logs once and dispatch SET_LOGS. AC: Logs available before dashboard charts render; no rehydration loops.",Done,Jan,frontend,420

500,FA,Task,Dashboard weekly sets chart,"Aggregate weekly sets and show bar chart; undertrained chips.",Done,Moreno,frontend,
501,FA,Sub-task,Aggregation,"Use aggregateWeeklySets for current week.",Done,Moreno,frontend,500
502,FA,Sub-task,UI chart,"Render Recharts BarChart with axes and tooltip.",Done,Moreno,frontend,500

510,FA,Task,Progress charts and CSV export,"Weekly totals line chart; export CSV of logs.",In Progress,Moreno,frontend,
511,FA,Sub-task,Line chart,"6-week trend using lastNWeeksStartDates and weekLabel.",In Progress,Moreno,frontend,510
512,FA,Sub-task,CSV export,"Use logsToCsv + downloadCsv with exercise index.",In Progress,Moreno,frontend,510

520,FA,Task,CSV utilities,"Implement logsToCsv and downloadCsv.",Done,Moreno,frontend,
521,FA,Sub-task,CSV rows,"Aggregate sets, reps, avg weight, credits JSON.",Done,Moreno,frontend,520
522,FA,Sub-task,Download helper,"Blob + ObjectURL + anchor click.",Done,Moreno,frontend,520

600,FA,Task,Date utilities,"Implement getWeekStart, isSameWeek, toISODate, weekLabel.",Done,Nicola,frontend,
601,FA,Sub-task,Week math,"Compute Monday week start and comparisons.",Done,Nicola,frontend,600
602,FA,Sub-task,Labels,"Format week label start–end.",Done,Nicola,frontend,600

610,FA,Task,Balance logic,"Compute weekly muscle set aggregation; under/over flags.",In Progress,Nicola,frontend,
611,FA,Sub-task,Aggregate,"Sum credits per muscle for a week.",In Progress,Nicola,frontend,610
612,FA,Sub-task,Thresholds,"findUndertrained and findOveremphasized helpers.",In Progress,Nicola,frontend,610

620,FA,Task,Planner suggestions,"Suggest exercises for undertrained muscles, optional equipment filter.",To Do,Nicola,frontend,
621,FA,Sub-task,Filter candidates,"Match primary/secondary and top-2 pick.",To Do,Nicola,frontend,620
622,FA,Sub-task,Equipment filter,"Optional narrowing by equipment type.",To Do,Nicola,frontend,620

700,FA,Task,Create Jira,"Create project 'FA' and initial board with columns To Do, In Arbeit, Fertig; enable Task and Sub-task issue types. AC: Team sees project and board; CSV import works.",Done,Jan,management,
701,FA,Sub-task,Project setup,"Create Jira software project (key FA) and Kanban/Scrum board; configure workflow/status mapping for To Do/In Progress/Done; set issue types Task/Sub-task. AC: New issues appear on board in correct columns.",Done,Jan,management,700
702,FA,Sub-task,Permissions,"Add team members (Ramadan, Denis, Gino, Jan, Moreno, Nicola) with appropriate roles and assignable permissions. AC: Members can create/edit issues; assignee field suggests team.",Done,Jan,management,700

710,FA,Task,Jenkins Pipeline,"CI pipeline for build and lint on PRs.",In Progress,Nicola,devops,
711,FA,Sub-task,Build step,"Install deps, run typecheck and build.",In Progress,Nicola,devops,710
712,FA,Sub-task,Lint step,"Run ESLint with CI-friendly output.",In Progress,Nicola,devops,710

